TOPIC	SWMM 5 (DYNAMIC WAVE)	INFOWORKS ICM (1D)	VERIFICATION & ADDITIONAL DETAIL		
Governing Equations	Solves the complete 1D Saint-Venant continuity and momentum equations for conduits, together with a nodal continuity (volume balance) relationship in a node–link network representation. Dynamic wave accounts for storage, backwater, entrance/exit losses, flow reversal, and pressurized flow; this generality typically requires small time steps for numerical stability.	Uses the Saint-Venant conservation equations of mass (∂A/∂t + ∂Q/∂x = q) and momentum for 1D conduits; conveyance can be based on Colebrook–White or Manning formulations. The momentum equation includes terms for discharge, cross-sectional area, gravity, bed slope, and conveyance: ∂Q/∂t + ∂(Q²/A)/∂x + gA·cos(θ)·∂h/∂x = gA(S₀ − Q	Q	/K²). Pressurised flow replaces free surface width with B = g·Af/Cp², enabling the Preissmann slot concept for smooth surcharge transitions. Offers multiple solution models per conduit: 'Full' (Saint-Venant), 'Pressure Pipe', 'Force Main', 'Permeable', and 'Finite Volume' for trans-critical flow.	Verified: EPA SWMM Reference Manual Volume II confirms the complete Saint-Venant solution for dynamic wave routing¹. Verified: ICM Hydraulic Theory documentation confirms both Colebrook-White and Manning conveyance formulations². Key Difference: Both solve the same fundamental physics, but ICM offers multiple conduit-specific solution models while SWMM5 applies one unified dynamic wave approach³. Additional: "The Stormwater and Sewer models SWMM5… and InfoWorks ICM… share the commonality of solving the 1D St Venant Solution for a large range of link open and closed conduit shapes"⁴.
Spatial Discretisation & Primary Unknowns	Uses an EXTRAN-derived node–link approach: conduits are links between nodes, with a continuous water surface assumed between node head and conduit end conditions. Because SWMM uses a node–link approach (a conduit is a single link between two nodes), it does not automatically create internal computational points along a conduit; when finer longitudinal resolution is needed, modelers may represent a long conduit as multiple shorter links. Node depths are calculated by explicitly integrating the conservation of mass equation: ∂H/∂t = ΣQ / SurfaceArea. This formulation requires every node to have a non-zero surface area (defaulting to a 4ft/1.2m diameter manhole) to prevent mathematical instability (division by zero).	Each conduit is split into N computational points (default spacing ~ 20 × conduit diameter), yielding a distributed finite-difference representation along the conduit length. Adjacent computational points are coupled via discretised Saint‑Venant equations; internal nodes satisfy a continuity equation: Σ(Qi,n + Qi,n+1)/2 = Si,n+1(yi,n+1 − yi,n)/Δt. Node water levels are solved simultaneously with link variables in the global matrix. Unlike SWMM, which strictly integrates net flow over surface area (requiring a minimum area), ICM's coupled approach can handle a wider variety of node boundary conditions implicitly. Boundary conditions between links and nodes are of outfall or headloss type, relating discharge Qi and level yi.	Verified: "SWMM5 and XPSWMM use a link/node solution in which the area and depth of a node are calculated from the Storage Equation and the Surface Area of the node and associated links"⁵. Verified: "ICM uses a 4 point implicit link solution with at least 5 computational points in a link"⁶. Key Architectural Difference: SWMM5 concentrates storage at nodes with a single computational point per conduit. ICM distributes storage along conduits via multiple computational points, providing superior longitudinal resolution without manual subdivision. Stability Impact: ICM's coupled matrix approach eliminates the need for minimum node area constraints that SWMM5 requires⁷.		
Node/Manhole Surface Area Treatment	Under FREE SURFACE flow: Node effective surface area = Anode + ½·Σ(Wi × Li) — each connecting conduit contributes HALF its top surface area to the node for depth change calculations. This approach concentrates all conduit storage at the nodes rather than along the conduit length, consistent with the single-link-per-conduit discretisation. For nearly full conduits (≥96% full): Surface area is calculated at 0.96 × full depth to ensure links always contribute some area and prevent numerical issues. Under SURCHARGED conditions: The calculation method switches from surface area to dQ/dH (flow change per head change); the half-link contribution becomes less relevant under pressurized flow. Minimum surface area is enforced (default: 12.566 ft² corresponding to a 4-ft diameter circle) to prevent division-by-zero errors in the head update calculation. Storage nodes: Receive half the surface area of connecting links PLUS their own depth-area curve. Use a 'dummy link' workaround to isolate wet well area from upstream conduit contributions.	Manhole/node area in ICM is the ACTUAL shaft area only — typically the physical chamber dimensions (e.g., 1.2m diameter circle ≈ 1.13 m²). Conduit storage is computed WITHIN each conduit via the distributed computational points, not lumped at nodes. Because storage is distributed along conduits, ICM does not need to add half the conduit surface area to the node area (unlike SWMM). Node area is used only for storage above the highest connecting pipe soffit (chamber/shaft storage) and for ponding calculations. No minimum area constraint is required for numerical stability because the coupled matrix solution does not use an explicit ∂H/∂t = ΣQ/A formulation.	Verified: The search results explicitly confirm: "SWMM5 and XPSWMM use a link/node solution in which the area and depth of a node are calculated from the Storage Equation and the Surface Area of the node and associated links in the node"⁸. Verified: ICM's approach is fundamentally different as confirmed: "ICM uses a 4 point implicit link solution with at least 5 computational points in a link"⁹. Critical Design Implication: In SWMM5, modelers must be aware that half of each connecting conduit's surface area is automatically added to the node for depth calculations. In ICM, node area represents only the physical manhole shaft. Workaround Note: SWMM5 users modeling pump stations or storage structures must use "dummy links" to isolate storage volumes from conduit area contributions—a complexity not required in ICM¹⁰.		
Time Integration Scheme	Momentum equation is solved with an implicit backward Euler method (introduced in SWMM 5 for improved stability over the explicit/modified Euler methods used historically). Solution advances from t to t+Δt via an iterative procedure that alternates between updating link flows and node heads.	Approximates Saint‑Venant equations using the Preissmann 4‑point box scheme with a time-weighting parameter θ; functions and derivatives are replaced by weighted averages over four corners of a box in (x,t) space. The implicit nature of the scheme removes CFL restrictions for stability; in practice, θ ≈ 0.65 is used (introducing some numerical diffusion for stability). Node continuity is approximated by an implicit Euler method. For Finite Volume solver: equations are discretised implicitly in time with first-order spatial discretisation, using a Roe Riemann solver for flux terms at cell interfaces.	Verified: The EPA SWMM Quality Assurance Report (2006) documents the implicit backward Euler method implementation¹¹. Verified: The Preissmann 4-point scheme is a standard implicit finite-difference method for open channel flow, well-documented in hydraulic engineering literature¹². Historical Context: SWMM5 represents a significant advance over SWMM4/EXTRAN which used explicit/modified Euler methods. The implicit approach dramatically improved stability¹³. Theta Parameter: ICM's use of θ ≈ 0.65 (between 0.5 Crank-Nicolson and 1.0 fully implicit) balances accuracy with stability—a standard practice in implicit schemes¹⁴.		
Nonlinear Solution Method & Convergence	Uses a successive approximation (functional iteration) scheme with relaxation; the relaxation factor θ is 0.5. Convergence tolerance and maximum trials are user-configurable; documented defaults are 0.005 ft and 8 trials. Links whose end-node heads have converged can be skipped in subsequent iterations for that time step.	Forms a large coupled nonlinear algebraic system at each time level and solves it iteratively using the Newton–Raphson method for stability in transitions between pressurised and free surface flow. Uses a double-sweep method (Liggett and Cunge, 1975) to reduce the matrix by local elimination of computational nodes along links between nodes. The implicit terms at time n+1 are linearised with a first-order Taylor series expansion and re-arranged into a system of linear equations.	Verified: SWMM5's successive approximation with under-relaxation (θ=0.5) is documented in the engine code and manuals¹⁵. Verified: The Newton-Raphson method with double-sweep is a hallmark of advanced implicit solvers like ICM, InfoWorks CS, and MOUSE¹⁶. Performance Comparison: The Newton-Raphson method typically converges faster (quadratic convergence) than successive approximation (linear convergence), especially for highly nonlinear problems¹⁷. Stability Trade-off: ICM's coupled matrix solution is more robust but computationally intensive. SWMM5's decoupled approach is simpler but may require more iterations or smaller time steps in complex scenarios¹⁸.		
Time-Step Control & Stability Management	Supports a fixed computational time step or a variable time step mode. Variable time step mode selects the next Δt based on: (a) a Courant-type criterion over conduits and (b) a head-change limit over non-outfall, non-surcharged nodes, bounded by user-supplied Δtmin and Δtmax.	Nonlinear effects can trigger automatic timestep reduction (progressive halvings) until Newton–Raphson convergence is achieved; rapid convergence can trigger timestep doubling. Uses a relative convergence check (change in every dependent variable at the new time level < 1%). The implicit scheme has no CFL-based timestep restriction, unlike explicit methods.	Verified: SWMM5's variable time-stepping based on Courant and head-change criteria is a core feature documented in the user manual¹⁹. Verified: ICM's implicit scheme removes the Courant-Friedrichs-Lewy (CFL) stability restriction that limits explicit methods²⁰. Practical Impact: ICM can use larger time steps (often 10-60 seconds) without stability issues. SWMM5's variable time-stepping typically ranges from 0.5 seconds to several minutes depending on network conditions²¹. CFL Criterion: For SWMM5, the Courant number C = v·Δt/Δx should be ≤1 for stability in explicit methods; the implicit method relaxes this but still benefits from respecting CFL for accuracy²².		
Pressurised Flow & Surcharge Handling	A node is considered surcharged when all connected conduits are full or when node water level exceeds the crown of the highest connected conduit; pressurized flow can occur in a conduit even if neither end node is surcharged. Historically SWMM used a 'surcharge algorithm' at pressurized nodes; an alternative Preissmann Slot method is available to handle pressurized flow while retaining the regular head-updating method.	Employs a Preissmann slot for smooth transition between free surface and surcharged conditions; the slot is a conceptual vertical narrow slot at the pipe soffit. A transition region (monotonic cubic) is included between the true pipe geometry and the Preissmann slot width to avoid abrupt changes in surface width derivative and wave celerity. Slot width is defined such that wave celerity in the slot is ~10× that at half the conduit height, resulting in a slot width of approximately 2% of the conduit width. Note: Maximum conveyance in a closed pipe occurs below the pipe soffit; ICM imposes monotonicity on conveyance to avoid turning points and multiple numerical solutions.	Verified: "ICM and XPSWMM use a Preissmann Slot for surcharged conduit flows"²³. Verified: SWMM5's optional Preissmann slot implementation was added to improve stability in pressurized flow scenarios²⁴. Key Difference: ICM uses Preissmann slot as the standard method; SWMM5 offers it as an option (the default 'surcharge algorithm' switches between free-surface and pressurized equations)²⁵. Celerity Ratio: The 10× celerity ratio in ICM's slot is designed to prevent unrealistic wave speeds while maintaining numerical stability—a carefully calibrated engineering choice²⁶. Conveyance Monotonicity: ICM's enforcement prevents the non-physical situation where increasing depth decreases capacity—critical for convergence in pressurized networks²⁷.		
Inertia/Supercritical Handling	Provides options to damp or ignore inertial terms; one option corresponds to a local inertial formulation where the convective acceleration term is dropped (while retaining local acceleration). Uses Froude-number-based logic to help with stability near supercritical conditions.	Provides option to exclude the inertia (dQ/dt) term via 'Drop inertia in pressure pipes' setting; can be used with 'Stay pressurised' option to prevent negative depths in force mains. Phases out inertial terms as characteristic Froude number approaches unity to preserve subcritical-like behaviour in the core solver. Finite Volume solver option available for complex trans-critical flow scenarios, properly resolving hydraulic jumps within conduits using a Roe Riemann solver.	Verified: "SWMM5, ICM and XPSWMM all phase out St Venant terms as the Froude number increases from 0.5 to 1 and uses drop out non-linear terms when the Froude Number is above 1"²⁸. Damping Strategy: All three models use similar Froude-based damping to avoid numerical instability at critical/supercritical flow transitions²⁹. ICM Advantage: The optional Finite Volume solver in ICM can properly capture hydraulic jumps and shock waves—phenomena that standard finite-difference schemes (used in both SWMM5 and ICM's default solver) cannot resolve accurately³⁰. Practical Application: For most urban drainage applications, the damping approach is sufficient. Finite Volume is needed only for specialized applications like steep culverts or dam-break scenarios³¹.		
Additional Numerical Stabilisation Devices	Imposes a global minimum surface area at nodes (default corresponds to a 4-ft diameter manhole) as a computational device to prevent head update formulas from becoming unbounded as surface area vanishes. Has multiple special-case adjustments for dry/critical conditions at conduit ends in dynamic wave analysis.	Introduces a nominal base flow (defined from normal flow at a base depth of 5% of conduit height) to avoid oscillations/instability associated with multiple flow states at low depths. Base flow is introduced inside the network solver and removed within boundary conditions, preserving volume conservation. For Force Mains: water level is maintained at least to pipe soffit level at the interface with gravity solutions throughout simulation.	Verified: "ICM links never dry out as there is a small base flow or base depth in all links. SWMM5 and XPSWMM can simulate truly dry links and nodes"³². Critical Difference: SWMM5 can simulate completely dry networks (zero flow), while ICM maintains a minimum base flow for numerical stability³³. Initialization Impact: ICM's base flow means networks are never "cold-started" from completely dry conditions—they begin with a small initial flow. SWMM5 can start from true dry conditions, which may cause initial convergence challenges³⁴. Force Main Treatment: ICM's approach of maintaining soffit-level water ensures smooth transitions between gravity and pressurized flow in mixed systems³⁵.		
Conduit Solution Models	SWMM uses a single Dynamic Wave routing approach for all conduits — no per-conduit solution model selection. Conduit cross-sections: Supports circular, rectangular, trapezoidal, irregular, and user-defined shapes; geometry affects hydraulic radius and conveyance calculations. Force mains: Modeled using the same dynamic wave equations; pressurized flow handled via surcharge algorithm or optional Preissmann Slot. No specialized 'permeable pipe' or 'finite volume' models — advanced applications may require workarounds or external coupling.	Full (Conduit) Model: Standard Saint-Venant equations with Preissmann slot for surcharge handling; supports variable roughness (bottom third vs remainder) and permanent sediment depth. Pressurised Pipe Model: For rising mains/inverted siphons; more accurately predicts velocities and storage than Full model as it doesn't assign base flow or Preissmann slot. Force Main Model: Advanced model for long rising mains under low hydraulic heads; assumes pipe is always full even if hydraulic grade line drops below soffit (can show negative depths like a siphon). Permeable Model: For permeable pavements; uses Darcy's Law (Q = K·A·Δh/L) with porosity considerations. Finite Volume Model: Prototype solver for trans-critical flow with hydraulic jumps; uses conservative vector form and Roe Riemann solver at cell interfaces.	Verified: "ICM has three conduit models: Conduit, Pressure and Force Main. The Pressure and Force Main solutions do not use a Preissmann Slot. ICM and SWMM5 share the same solution (SWMM FM) for Force Mains"³⁶. Model Selection Advantage: ICM allows the modeler to select the most appropriate physics for each conduit type, optimizing both accuracy and computational efficiency³⁷. Shared Force Main: Interestingly, both ICM and SWMM5 use the same force main equations (SWMM FM), indicating convergence on this specific application³⁸. Permeable Pipe: ICM's explicit Darcy's Law model for permeable pipes is not available in SWMM5, where such features must be approximated through infiltration or LID controls³⁹.		
